concept_id,concept_option_id,label,sort_order
c142,c142:2,Congestión vehicular (Tráfico).,2
c142,c142:3,"Inseguridad para desplazarse (choques entre vehículos, atropellos)",3
c142,c142:4,"Calidad de la infraestructura vial para automóviles: baches, semáforos descompuestos, deficiencias viales.",4
c142,c142:5,"No hay infraestructura para peatones y ciclistas (banquetas con obstáculos o falta de iluminación, ciclovías inexistentes, etc.)",5
c142,c142:6,Cultura vial: no se conduce de acuerdo con el reglamento.,6
c142,c142:7,No tengo problemas,7
c142,c142:8,Costo combustible,8
c142,c142:8888,No sabe,8888
c142,c142:9999,No contesta,9999
c158,c158:0,NO,0
c158,c158:1,SÍ,1
c158,c158:7777,No aplica,7777
c158,c158:8888,No sabe,8888
c158,c158:9999,No contesta,9999
c162,c162:1,Hace menos de un año,1
c162,c162:2,De 1-5 años,2
c162,c162:3,De de 5-10 años,3
c162,c162:4,Hace más de 10 años,4
c162,c162:5,Nunca se ha mudado de casa,5
c162,c162:8888,No sabe,8888
c162,c162:9999,No contesta,9999
c163,c163:1,"Allende, NL",1
c163,c163:2,"Apodaca, NL",2
c163,c163:3,"Abasolo, NL",3
c163,c163:4,"Cadereyta, NL",4
c163,c163:5,"Alamo, Veracruz",5
c163,c163:6,"Altamira, Tamaulipas",6
c163,c163:7,Argentina,7
c163,c163:8,"Aramberri, NL",8
c163,c163:9,Burgos Tamaulipas,9
c163,c163:10,"Campeche ,Campeche",10
c163,c163:11,"Coatzacoalcos, Veracruz",11
c163,c163:12,"Carvajal, SLP",12
c163,c163:13,"Ciudad Madero, Tamaulipas",13
c163,c163:14,"Ciudad Valles, Tamaulipas",14
c163,c163:15,"Ciudad Victoria, Tamaulipas",15
c163,c163:16,"Celaya, Guanajuato",16
c163,c163:17,San Luis Potosí,17
c163,c163:18,"Durango, Durango",18
c163,c163:19,Cerralvo NL,19
c163,c163:20,"Charcas, SLP",20
c163,c163:21,"Chiapas, Chiapas",21
c163,c163:22,"Chihuahua, Chihuahua",22
c163,c163:23,"China, NL",23
c163,c163:24,"Ciénega de Flores, NL",24
c163,c163:25,"Colima, Colima",25
c163,c163:26,"Córdoba, Veracruz",26
c163,c163:27,"Cuernavaca, Morelos",27
c163,c163:28,"Culiacán, Sinaloa",28
c163,c163:29,"Dr. Gonzalez, Nuevo León",29
c163,c163:30,Dr. Arroyo,30
c163,c163:31,"Ecatepec, Estado de México",31
c163,c163:32,Estado de México,32
c163,c163:33,"El Carmen, NL",33
c163,c163:34,"García, NL",34
c163,c163:35,"Escobedo, NL",35
c163,c163:36,"Roma, Texas, USA",36
c163,c163:37,Estados Unidos,37
c163,c163:38,"Fresnillo, Zacatecas",38
c163,c163:39,"Galeana, Galeana",39
c163,c163:40,"García, NL",40
c163,c163:41,"Guadalajara, Jalisco",41
c163,c163:42,"Guadalupe, NL",42
c163,c163:43,"Guanajuato, Guanajuato",43
c163,c163:44,"Guasave, Sinaloa",44
c163,c163:45,"Hidalgo, NL",45
c163,c163:46,"Hidalgo, Tamaulipas",46
c163,c163:47,"Houston, Texas",47
c163,c163:48,"Iturbude, NL",48
c163,c163:49,Ixtapaluca Estado De México,49
c163,c163:50,"Jalapa, Veracruz",50
c163,c163:51,"Jalapa de Méndez, Tabasco",51
c163,c163:52,"Juárez, NL",52
c163,c163:53,"Jicotepec, Puebla",53
c163,c163:54,"Ciudad Juárez, Chihuahua",54
c163,c163:55,"La Huasteca, SLP",55
c163,c163:56,"Lápazos, NL",56
c163,c163:57,"Laredo, Texas",57
c163,c163:58,"Linares, NL",58
c163,c163:59,"Las Guerras, Tamaulipas",59
c163,c163:60,Ciudad Mante,60
c163,c163:61,"Marín, NL",61
c163,c163:62,"Matehuala, SLP",62
c163,c163:63,"Mérida, Yucatán",63
c163,c163:64,Ciudad de México,64
c163,c163:65,"Miguel Alemán, Tamaulipas",65
c163,c163:66,"Minatitlán, Veracruz",66
c163,c163:67,"Monclova, Coahuila",67
c163,c163:68,"Montemorelos, NL",68
c163,c163:69,"Monterrey, NL",69
c163,c163:70,"Nuevo Laredo, Tamaulipas",70
c163,c163:71,Honduras,71
c163,c163:72,"Ostucán, Chiapas",72
c163,c163:73,"Oaxaca, Oaxaca",73
c163,c163:74,"Pánuco, Veracruz",74
c163,c163:75,"Papantla, Veracruz",75
c163,c163:76,"Pesquería, NL",76
c163,c163:77,Otro estado,77
c163,c163:78,"Poza Rica, Veracruz",78
c163,c163:79,"Ramos Arizpe, Coahuila",79
c163,c163:80,"Rayones, NL",80
c163,c163:81,"Reynosa,Tamaulipas",81
c163,c163:82,"Sabinas, Coahuila",82
c163,c163:83,"Sabinas Hidalgo, NL",83
c163,c163:84,"Salinas Victoria, NL",84
c163,c163:85,"Salinasde Hidalgo, SLP",85
c163,c163:86,Saltillo Coahuila,86
c163,c163:87,"Salvatierra, Guanajuato",87
c163,c163:88,"San Pedro Garza García, NL",88
c163,c163:89,"San Andres , Zacatecas",89
c163,c163:90,San Cristibal De Las Casas Chiapas,90
c163,c163:91,"San Luis Potosí, SLP",91
c163,c163:92,"Ciudad Valles, SLP",92
c163,c163:93,"San Rafael, Galeana NL",93
c163,c163:94,"San Salvador, Zacaecas",94
c163,c163:95,"Santa Catarina, NL",95
c163,c163:96,"Santiago, NL",96
c163,c163:97,"Soto La Marina, Tamaulipas",97
c163,c163:98,Tabasco,98
c163,c163:99,Tamaulipas,99
c163,c163:100,"Encino, Tamaulipas",100
c163,c163:101,"Tampacan,SLP",101
c163,c163:102,"Tampico Alto Jalapa, Veracruz",102
c163,c163:103,"Tampico, Tamaulipas",103
c163,c163:104,"Tantoyuca, Veracruz",104
c163,c163:105,"Tatahilcapa , Veracruz",105
c163,c163:106,"Terán, NL",106
c163,c163:107,"Tijuana, Baja California Norte",107
c163,c163:108,"Tlaxcla,Tlaxcala",108
c163,c163:109,"Torreón, Coahuila",109
c163,c163:110,"Tula Allende, Hidalgo",110
c163,c163:111,"Tuxpan, Veracruz",111
c163,c163:112,"Venado, SLP",112
c163,c163:113,"Zuazua, Zuazua",113
c163,c163:114,"San Nicolás de los Garza, NL",114
c163,c163:115,"Veracruz, Veracruz",115
c163,c163:116,Zaragoza,116
c163,c163:117,"Xilitla, SLP",117
c163,c163:118,"Zacatecas, Zacatecas",118
c163,c163:119,Villa De Coss Zacatecas,119
c163,c163:120,"Villagrán, Tamaulipas",120
c163,c163:121,"Consuelo, Linares",121
