respondent_id,is_initial_respondent,nombre,factor_cvnl,city_id
119_2,False,,666.6879883,11
119_3,False,,666.6879883,11
119_4,False,,666.6879883,11
119_5,False,,666.6879883,11
120_1,True,,659.7180786,10
120_2,False,,659.7180786,10
120_3,False,,659.7180786,10
120_4,False,,659.7180786,10
120_5,False,,659.7180786,10
121_1,True,,110.7352905,49
121_2,False,,110.7352905,49
121_3,False,,110.7352905,49
122_1,True,,1015.954529,46
122_2,False,,1015.954529,46
122_3,False,,1015.954529,46
122_4,False,,1015.954529,46
123_1,True,,1015.954529,46
123_2,False,,1015.954529,46
124_1,True,,663.3157959,47
124_2,False,,663.3157959,47
124_3,False,,663.3157959,47
125_1,True,,1013.601074,21
125_2,False,,1013.601074,21
125_3,False,,1013.601074,21
125_4,False,,1013.601074,21
125_5,False,,1013.601074,21
126_1,True,,963.7158813,31
126_2,False,,963.7158813,31
126_3,False,,963.7158813,31
126_4,False,,963.7158813,31
127_1,True,,666.6879883,7
127_2,False,,666.6879883,7
127_3,False,,666.6879883,7
128_1,True,,666.6879883,47
128_2,False,,666.6879883,47
129_1,True,,659.7180786,45
129_2,False,,659.7180786,45
129_3,False,,659.7180786,45
129_4,False,,659.7180786,45
129_5,False,,659.7180786,45
129_6,False,,659.7180786,45
130_1,True,,666.6879883,33
130_2,False,,666.6879883,33
130_3,False,,666.6879883,33
131_1,True,,963.7158813,31
131_2,False,,963.7158813,31
132_1,True,,963.3539429,31
132_2,False,,963.3539429,31
133_1,True,,258.2655334,9
133_2,False,,258.2655334,9
134_1,True,,110.7352905,49
134_2,False,,110.7352905,49
134_3,False,,110.7352905,49
135_1,True,,802.7727051,18
135_2,False,,802.7727051,18
136_1,True,,1407.310669,6
136_2,False,,1407.310669,6
137_1,True,,962.1404419,46
137_2,False,,962.1404419,46
137_3,False,,962.1404419,46
137_4,False,,962.1404419,46
138_1,True,,666.6879883,11
138_2,False,,666.6879883,11
138_3,False,,666.6879883,11
139_1,True,,2808.141113,39
139_2,False,,2808.141113,39
139_3,False,,2808.141113,39
139_4,False,,2808.141113,39
139_5,False,,2808.141113,39
139_6,False,,2808.141113,39
139_7,False,,2808.141113,39
139_8,False,,2808.141113,39
140_1,True,,1407.310669,6
140_2,False,,1407.310669,6
140_3,False,,1407.310669,6
140_4,False,,1407.310669,6
140_5,False,,1407.310669,6
